Params,Error
"[21.800490625445036, 0.7701745109430591, 0.12852452656206628, 0.16789606151594919, 0.49051184491870986, 331.80653106584896, 0.28774510266821085, 0.7102756355762468]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[42.96156326872323, 0.13020382678282905, 0.8787519701418427, 0.04811300062808479, 0.004277637118190082, 338.47336968765313, 0.6038699858869784, 0.07818362905079995]",list index out of range
"[13.07321313548292, 0.0857458572212672, 0.1580248606661351, 0.4052975275161747, 0.8390067635129475, 324.88596504649297, 0.6843329307744767, 0.4647441156488216]",list index out of range
"[22.507310615751532, 0.5776452904486234, 0.33522553947979417, 0.6743503512600896, 0.04123192085417511, 326.90907368284786, 0.4654340269849689, 0.4341438007184149]",list index out of range
"[37.92919365777792, 0.030884287517981446, 0.4496671444648449, 0.3808526054502959, 0.601931757237159, 309.9633662465284, 0.32913150021900384, 0.9827181376055342]",list index out of range
"[33.287927466651766, 0.7954404805813063, 0.06113002628572936, 0.43109990257604763, 0.13357136383893128, 292.02246336017777, 0.20039448926595466, 0.18441684370845957]",list index out of range
"[28.96685193834217, 0.4679274959637925, 0.6638301777556664, 0.04267237554946887, 0.7923411929608346, 273.1020623029992, 0.6605755977983759, 0.7809343422799]",'MESHDistillation' object has no attribute '_inlet_cost'
"[31.64521388147136, 0.32929763264894313, 0.46242053951107354, 0.25039197502309674, 0.23164012520887511, 313.0470480872533, 0.5807195360564111, 0.6783707597662672]",list index out of range
"[33.873889791747786, 0.04204469642070845, 0.04381115718564492, 0.7130367065635921, 0.2426556492767378, 296.8834912573192, 0.7397095381147998, 0.505914208252977]",list index out of range
"[11.470740023507606, 0.15764702956789398, 0.08989888409121581, 0.5546213114295695, 0.8038624915900037, 291.516201588358, 0.8687200770108844, 0.166006032759521]",list index out of range
"[40.168591937501986, 0.23558828424852366, 0.07711059648023261, 0.6089073803490311, 0.665935729889671, 282.7704035293541, 0.7109397108937012, 0.6546346574552218]",list index out of range
"[11.038893320955076, 0.07875724993714056, 0.03448599217828976, 0.3828101310175042, 0.20781723063038413, 302.7192475413494, 0.6588984072050958, 0.823028347138863]",list index out of range
"[39.775928426063665, 0.2866697575522674, 0.522903910288444, 0.11318239887353693, 0.19488537171479142, 334.5594842006296, 0.08839952909965987, 0.7488490596248527]",list index out of range
"[21.99087366454348, 0.7330684425955832, 0.9518044072706712, 0.6393459850477368, 0.10553966667675888, 290.7135378691869, 0.012028350584069364, 0.37818195744523536]",'HXutility' object has no attribute '_inlet_cost'
"[48.158883644572924, 0.029644380999396903, 0.8188578182986774, 0.7776329826939349, 0.2667176113605162, 347.84805151815436, 0.056811614559603714, 0.9567452105395151]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[28.360800753889755, 0.9645864168609772, 0.8830681398726075, 0.7491744552439494, 0.08800078329058968, 305.3733179801751, 0.39089020362702975, 0.06424928958526294]",'MESHDistillation' object has no attribute '_inlet_cost'
"[20.563989345082113, 0.14433136750694492, 0.25312418046457347, 0.40210360873137907, 0.7106059448574695, 331.0932504721737, 0.3737289632955453, 0.659977363048886]",list index out of range
"[12.408633398956741, 0.125328152055841, 0.654021163726212, 0.8897495471814751, 0.4663689181343576, 287.0912151057189, 0.793788105915791, 0.26803422746924016]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[43.34871295408965, 0.8488532661189349, 0.4130915234096118, 0.5922493033226056, 0.055098530675473316, 338.52179269191913, 0.44339263455118677, 0.9326497104425311]",list index out of range
"[14.816409645672534, 0.17647422400566584, 0.3511380306013311, 0.4906852815269632, 0.38551073913821843, 278.2213138925628, 0.5319598853179831, 0.1696021974248286]",'MESHDistillation' object has no attribute '_inlet_cost'
"[32.64360385404005, 0.15973910985372722, 0.9141228484505611, 0.18863969614835582, 0.14372828366540785, 336.4731477247012, 0.6064992136201925, 0.23998638184613963]",list index out of range
"[47.96945498714862, 0.8268670984864915, 0.8648519723386848, 0.6057255201945214, 0.09785131353846643, 288.2198381327263, 0.004324782629089931, 0.929101708527205]",'MESHDistillation' object has no attribute '_inlet_cost'
"[26.20646552407728, 0.07593001461536616, 0.8303863063603565, 0.39505057198963783, 0.025062080218365743, 321.65972802335654, 0.24341375401931123, 0.9044507323102015]",list index out of range
"[38.80482249003469, 0.7736079689266583, 0.29545587589359584, 0.17950283620133625, 0.060137997552165666, 323.3537474197494, 0.8672879482300284, 0.4926129387376572]",list index out of range
"[36.31099061144821, 0.3126671448292425, 0.9583671731690155, 0.9969049309674681, 0.7082349271217793, 325.2226138716917, 0.2788390423212396, 0.02894602421897842]",list index out of range
"[35.582797994009724, 0.34036753738853875, 0.5445885971272515, 0.820506513510945, 0.003712137705588874, 279.1016461575114, 0.5922530689198908, 0.02274280360684154]",list index out of range
"[12.845846137299247, 0.9453393222192649, 0.9771539694475818, 0.3016056417312194, 0.3758614087355948, 283.0574346992703, 0.8862176411565353, 0.0971970241793794]",'HXutility' object has no attribute '_inlet_cost'
"[46.224439569090386, 0.5644393556401287, 0.8160743489464249, 0.11898928299344813, 0.5700237493866408, 338.96440022514304, 0.75689204327316, 0.514311919428995]",'HXutility' object has no attribute '_inlet_cost'
"[11.19199696603068, 0.052505474583436754, 0.4803316842923875, 0.718161680250071, 0.7093419002731474, 320.842470482986, 0.5891884543753991, 0.21549510021763435]",list index out of range
"[46.91059395817472, 0.572262100553162, 0.7435628240058372, 0.005445721426393228, 0.9005921296895555, 336.0221064459078, 0.3011681417485962, 0.14877030733933927]",list index out of range
"[16.704791737348547, 0.23237648259249863, 0.37876330184801454, 0.3058975252858966, 0.22628111772566173, 295.9672911071248, 0.8715892294964401, 0.36023767221345954]",list index out of range
"[43.025505013595094, 0.3596004479218094, 0.4710725526810659, 0.05765199292635398, 0.18532116102211332, 295.8266175147433, 0.34037246169536617, 0.99670528695465]",list index out of range
"[34.39416225990633, 0.7444724967563732, 0.9219704606982937, 0.22378342251640915, 0.1120596391904139, 300.80433426994335, 0.9885076038287587, 0.7056621917602885]",list index out of range
"[1.9427413477180655, 0.5152913835181316, 0.17432130252174297, 0.6405568694203214, 0.9159334476152056, 282.7137452462684, 0.9175138193603598, 0.4266794121850138]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[42.64528913472838, 0.017051330298562272, 0.5019676044682021, 0.777872213786816, 0.743448977650171, 293.8943353501877, 0.7401605773789562, 0.7875801887705232]",list index out of range
"[29.277092021588558, 0.18489769465239211, 0.05389243291747711, 0.12590702209856872, 0.9271352930982144, 281.3982459744071, 0.5304413152444586, 0.6917512206053049]",list index out of range
"[41.3340716495033, 0.6738396401515951, 0.28415843631835525, 0.4709687096064383, 0.24166094156047593, 285.6246091468513, 0.567912835477543, 0.392256551832051]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[30.693775913217188, 0.25569626471930834, 0.20260721929841718, 0.7320551971448201, 0.3541246320960902, 276.7605196603439, 0.463399941736989, 0.9796163963542172]",'MixerSettler' object has no attribute '_inlet_cost'
"[3.4831785975510074, 0.8280775976693928, 0.9878297952355697, 0.0537047651526037, 0.33441340055639174, 289.9017750411338, 0.33783995299505093, 0.297744180033762]",list index out of range
"[24.025234848793186, 0.922320352108253, 0.2606419091746763, 0.004020202671008261, 0.06207931460354304, 335.91546897188095, 0.3230124408401943, 0.9650098597218916]",list index out of range
"[14.036337893848486, 0.4123838881934798, 0.36917484723000715, 0.01408040705248339, 0.5502663514262645, 275.3854037996031, 0.39371042515349025, 0.6475959214725282]",list index out of range
"[46.02680600311139, 0.996962571737525, 0.9055264633038838, 0.1888503408518359, 0.19905504198508514, 337.21345781416255, 0.0796799808343476, 0.19031493859643206]",list index out of range
"[48.02484353751272, 0.14560363952934532, 0.39317311396861077, 0.5092136179832908, 0.21669935659524467, 319.3202791011597, 0.11949625248687822, 0.4159705564602899]",'MESHDistillation' object has no attribute '_inlet_cost'
"[42.30077619042486, 0.9608797254108258, 0.29485964540423387, 0.009038812598241528, 0.10179961297252245, 309.45509270883633, 0.3773249753755063, 0.18565053329167822]",list index out of range
"[28.9457269876278, 0.006479950566399212, 0.8133398234804297, 0.3710957440709782, 0.659874574184166, 295.30654130605654, 0.6344164400750759, 0.2012251852716214]",list index out of range
"[25.893125766130286, 0.12550448721411106, 0.5647017850720513, 0.8008876262895797, 0.026278641717798427, 335.6896007780647, 0.906712028819836, 0.8277129564250572]",list index out of range
"[8.359866958613619, 0.542401003260149, 0.7280675983345424, 0.11990646554952045, 0.6548260858535045, 335.2378211221833, 0.8465993669138195, 0.8257009477777814]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[9.722661095562966, 0.35922177651745285, 0.18816395683484513, 0.17039386082425473, 0.7607320543840818, 281.60340842667955, 0.7962742090775784, 0.3010527222096559]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[42.42710903315508, 0.17175225389967547, 0.36153481157693584, 0.7678497942132287, 0.978423731202925, 287.01605458586954, 0.790543532820844, 0.6748820328559564]",'HXutility' object has no attribute '_inlet_cost'
"[13.478778848714523, 0.27845400829930206, 0.25199349679153327, 0.44651798680359417, 0.37215415134725877, 284.6110783580214, 0.2721307885961806, 0.7309982798104905]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[3.3233806200158487, 0.38722171936560557, 0.19797924096410027, 0.4020590268640767, 0.6096773197941483, 338.32596120834717, 0.837815023280632, 0.656067272959842]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[31.018069703471575, 0.6046731699850377, 0.9300548382679276, 0.12656472716119363, 0.31399155421128944, 337.6436604013893, 0.07086240783495966, 0.7277074162172114]",list index out of range
"[48.98382585987096, 0.8776536813319743, 0.6149548278165915, 0.334916912688335, 0.23809522288342433, 289.9287886838442, 0.27535528053136654, 0.22145699775267214]",'HXutility' object has no attribute '_inlet_cost'
"[16.663784518708894, 0.6366682276957953, 0.47634998872661355, 0.0762805958674223, 0.4248480303531599, 335.88559516323363, 0.6444536266270489, 0.3633522910553275]",list index out of range
"[36.08005376085003, 0.23122791391609235, 0.32408877130907743, 0.0761725653265959, 0.969924032869454, 295.20125687270433, 0.6241581644674866, 0.12427004220099222]",'HXutility' object has no attribute '_inlet_cost'
"[37.33635056161528, 0.055147036470578066, 0.6704344069915272, 0.11932913912473508, 0.6749580643375573, 300.6305256597109, 0.7394486115723544, 0.251287935116952]",'ShortcutColumn' object has no attribute '_inlet_cost'
"[11.128488140354671, 0.9563968052120808, 0.2199094424966459, 0.0973213158434983, 0.20150437310816086, 277.66500725277103, 0.07160962140270287, 0.06909686199993803]",list index out of range
"[46.02638644237232, 0.10664553596722408, 0.9218988195002579, 0.4313766685263515, 0.12798261598607655, 302.16560729691025, 0.6445161650676603, 0.7927639687822022]",list index out of range
"[37.76320399726345, 0.43880012103757504, 0.08731927436485122, 0.926084962165133, 0.067959805556183, 339.3164423998186, 0.2740078930139191, 0.6079791591519572]",'MixerSettler' object has no attribute '_inlet_cost'
"[14.656674118867718, 0.27553618603433216, 0.32924152844817406, 0.24900045773627613, 0.3601597336581251, 277.49122155491676, 0.1611799767293419, 0.6577978380212735]",'HXutility' object has no attribute '_inlet_cost'
"[19.311558192109523, 0.47225119902176954, 0.9311197122152804, 0.26459339733960807, 0.1257626603268776, 291.3254980939428, 0.5394553813681042, 0.19540024724217514]",list index out of range
"[3.6052396663511446, 0.9317987481572171, 0.7123961114661538, 0.0766157724901148, 0.40328013161898024, 278.39553397605846, 0.6416416255989643, 0.3199141656778486]",list index out of range
"[46.18794234316212, 0.09314064362003648, 0.4221009467312327, 0.9891471398154795, 0.9442561356015667, 276.20945248205345, 0.9861447685821682, 0.8336252734873163]",'HXutility' object has no attribute '_inlet_cost'
"[1.2659859206605089, 0.1558943409578425, 0.7502369322810993, 0.7610439347004466, 0.07663990702364329, 280.8709548496756, 0.42213746193818213, 0.2349105220520067]",'MixerSettler' object has no attribute '_inlet_cost'
"[11.132091292561048, 0.06974498972139961, 0.41580558034992227, 0.9596167597333791, 0.6706661746892529, 314.1715446300713, 0.32155384044075863, 0.5203522588594877]",list index out of range
"[12.551688599549509, 0.7122883557846553, 0.9827206613392883, 0.12916741874049348, 0.08675185586272327, 304.1447294238147, 0.12553997968835862, 0.7885992345788708]",list index out of range
"[36.1116868585901, 0.5379612663907524, 0.5913091667208893, 0.9636273423204565, 0.007321208611829911, 324.6969560940392, 0.8845855758932502, 0.5188130336223397]",'HXutility' object has no attribute '_inlet_cost'
"[45.46884202845151, 0.7322407065021095, 0.43662188251645173, 0.24495020889772534, 0.2774794173430293, 332.22522929344694, 0.9906581123370413, 0.16060222017382492]",'MESHDistillation' object has no attribute '_inlet_cost'
"[19.818796910082554, 0.1730625287338371, 0.7645632311972991, 0.5276225152896749, 0.22919492561690089, 307.9945704085182, 0.623520742499237, 0.9709366222433453]",'MESHDistillation' object has no attribute '_inlet_cost'
"[48.51964390800228, 0.19925954128240905, 0.2246000834026247, 0.3565554442004242, 0.6778153763843558, 306.59156433471037, 0.41677254056766116, 0.08928819332070326]",'HXutility' object has no attribute '_inlet_cost'
"[12.523659093483197, 0.46027735025691097, 0.6649028742167427, 0.23505889677475347, 0.16542006474509036, 327.53806148549324, 0.6669693679445186, 0.22491954344997866]",list index out of range
"[20.416428146329164, 0.9278171375002997, 0.26615582100958435, 0.35627009750316013, 0.23829608573658376, 345.0820956232919, 0.8774425639549487, 0.08680815105808594]",'MESHDistillation' object has no attribute '_inlet_cost'
"[35.80480661521258, 0.14798005946099857, 0.44591429446334535, 0.4866658639396928, 0.8110887390119251, 305.24367386458545, 0.047101248062184284, 0.8646080144078873]",'MultiStageMixerSettlers' object has no attribute '_inlet_cost'
"[14.805746393139184, 0.6854807700058878, 0.9420243844121888, 0.4931786188408499, 0.6956119682988733, 316.76908920356675, 0.3240411254205533, 0.010483741630359105]",list index out of range
"[1.4722430424771775, 0.6380815131614513, 0.10627844221263347, 0.8098602080299441, 0.09235804260474327, 343.77505016048366, 0.8236525258535504, 0.40095676319928825]",'MixerSettler' object has no attribute '_inlet_cost'
"[1.1766225408113762, 0.5165315108073542, 0.16006571657575525, 0.8200151727891312, 0.10047385524221716, 283.26360506249216, 0.1873001680143345, 0.7268879386433202]",'MixerSettler' object has no attribute '_inlet_cost'
